题目名称,正确答案,选项1,选项2
只要我的美白产品够好，夏天出门就只用涂美白而不用防晒了,2,是,否
想要美白的话可以补充维生素B,2,是,否
秋冬季不太会有太阳，所以不用注意防晒,2,是,否
甘油会让皮肤更容易变黑,1,是,否
防晒霜不属于化妆品，因此不用卸妆,2,是,否
黑枸杞和蓝莓都含有大量黑色素，因此需要美白的人应该避免服用,2,是,否
出汗可以美白，因此可以通过多吃辛辣刺激食物的方式促进出汗以达到美白的效果,2,是,否
很多美白面膜都有牛奶，因此直接把牛奶敷在脸上也可以美白,2,是,否
想要美白的话可以补充维生素C,1,是,否
花青素的美白效果比维生素C好,1,是,否
花青素与维生素C的美白原理相同,1,是,否
维生素C与维生素E共同服用会降低美白的效果,2,是,否
服用珍珠粉可以有效美白,2,是,否
晚间入睡时使用美白产品效果更佳,1,是,否
经常出汗就不用去角质产品,2,是,否
肤色与黑色素含量直接相关,1,是,否
黑色素是通过酪氨酸氧化形成的,1,是,否
维生素C应该尽量选择独立胶囊包装或者压泵式包装,1,是,否
胡萝卜含有大量维生素C，对美白有好处，可以多吃,2,是,否
芒果会引起皮肤发黄,1,是,否
需要美白的人应该避免吃太多香菜,1,是,否
多吃芹菜可以美白,2,是,否
红枣泡绿茶喝可以美白,1,是,否
菊花苦瓜茶可以美白,2,是,否
茉莉陈皮茶可以美白,1,是,否
陈皮茯苓茶可以美白,2,是,否
用茯苓泡脚可以美白,2,是,否
用白醋泡脚可以美白,1,是,否
奇异果加雪梨榨汁喝可以美白,1,是,否
橙子加水蜜桃榨汁喝可以美白,1,是,否
火龙果加哈密瓜榨汁喝可以美白,2,是,否
黄瓜加木瓜榨汁喝可以美白,1,是,否
维生素c与果酸的美白原理相同,2,是,否
凡士林美白身体乳的烟酰胺含量高于sesderma焕白身体乳,2,是,否
妮维雅美白润肤乳液的烟酰胺含量高于sesderma焕白身体乳,2,是,否
妮维雅美白润肤乳液适合烟酰胺不耐受人群使用,1,是,否
sesderma焕白身体乳适合烟酰胺不耐受人群使用,2,是,否
SK2__小灯泡可以与宝拉珍选水杨酸精华一起使用,2,是,否
SK2__小灯泡可以与DR.WU杏仁酸一起用,2,是,否
the ordinary烟酰胺精华可以与宝拉珍选水杨酸精华一起使用,2,是,否
the ordinary烟酰胺精华可以与DR.WU杏仁酸一起用,2,是,否
佳雷神鲜水可以与宝拉珍选水杨酸精华一起使用,2,是,否
佳雷神鲜水可以与DR.WU杏仁酸一起使用,2,是,否
the ordinary烟酰胺精华可以与the ordinaryA醇精华一起使用,1,是,否
the ordinary烟酰胺精华可以与雅漾祛油清痘乳一起使用,1,是,否
SK2__小灯泡可以与the ordinaryA醇精华一起使用,1,是,否
SK2__小灯泡可以与雅漾祛油清痘乳一起使用,1,是,否
Olay 小白瓶可以与the ordinaryA醇精华一起使用,1,是,否
Olay小白瓶可以与雅漾祛油清痘乳一起使用,1,是,否
修丽可果酸精华液可以与雅漾祛油清痘乳一起使用,2,是,否
修丽可果酸精华液可以与the ordinaryA醇精华一起使用,2,是,否
法国珍贵水可以与雅漾祛油清痘乳一起使用,2,是,否
法国珍贵水可以与the ordinaryA醇精华一起使用,2,是,否
AHC眼霜可以与乐敦CC美容精华液一起使用,2,是,否
AHC眼霜可以与倩碧VC精华一起使用,2,是,否
后秘贴焕然修复精华液可以与乐敦CC美容精华液一起使用,2,是,否
后秘贴焕然修复精华液可以与倩碧VC精华一起使用,2,是,否
宠爱之名蓝铜保湿精华液可以与乐敦CC美容精华液一起使用,2,是,否
宠爱之名蓝铜保湿精华液可以与倩碧VC精华一起使用,2,是,否
安耐晒金瓶不含酒精,2,是,否
安耐晒粉金瓶不含酒精,1,是,否
果酸的主要作用是促使黑色素细胞排除,1,是,否
果酸的主要作用是抑制黑色素产生,2,是,否
烟酰胺可以抑制黑色素沉淀,1,是,否
烟酰胺可以缓解黑色素沉淀,1,是,否
烟酰胺可以加快黑色素脱落,1,是,否
玫瑰纯露可以用于美白,1,是,否
橙花纯露有淡化黑色素的作用,1,是,否
柠檬纯露有美白提亮的功效,1,是,否
黄瓜纯露有美白提亮的功效,1,是,否
传明酸可以抑制黑色素的形成,1,是,否
传明酸可以防止黑色素的沉积,1,是,否